rs_left,rs_right,rs_sound,tx
395,390,136,0.001
397,390,151.144385026738,0.0313030303030303
394.951871657754,389.317290552585,145.634581105169,0.0616060606060606
388.520661157025,385.520661157025,157.289256198347,0.0919090909090909
387.157943067034,383.684113865932,136.78971533517,0.122212121212121
388.073975044563,381.77807486631,142.849376114082,0.152515151515152
388.965240641711,379.104278074866,165.131016042781,0.182818181818182
390.76492194674,378.11753902663,152.763085399449,0.213121212121212
391.800734618916,378,145.394857667585,0.243424242424242
392,375.906417112299,141.208556149733,0.273727272727273
392.122130394858,372,138.267217630854,0.304030303030303
392.960784313725,372.039215686274,133.509803921569,0.334333333333333
392.069518716578,372.930481283422,145.096256684492,0.364636363636364
392,373,146,0.394939393939394
392,373.734618916437,146,0.425242424242424
393.305785123967,374,143.388429752066,0.455545454545455
394,372.85766758494,138.573002754821,0.485848484848485
394,373.900178253119,143.600713012478,0.516151515151515
394,374.892561983471,146.677685950413,0.546454545454545
394.786987522282,374.213012477718,164.313725490196,0.576757575757576
395.698806244261,374,153.626262626263,0.607060606060606
396,374.617079889807,140.212121212121,0.637363636363636
395.464646464646,375.535353535354,141.353535353535,0.667666666666667
396.6632996633,376.83164983165,139.346801346801,0.697969696969697
395.347107438017,377,138.826446280992,0.728272727272727
395,377,141.978879706152,0.758575757575758
395.643493761141,378.286987522282,146.860962566845,0.788878787878788
395.449035812672,378.449035812672,147.898071625344,0.819181818181818
394.530762167126,378.469237832874,147.938475665748,0.849484848484849
394,379.376114081996,149,0.879787878787879
392.863636363636,378.295454545455,156.954545454545,0.910090909090909
389.247771836007,376.311942959002,145.110516934046,0.940393939393939
385.612488521579,377.790633608815,137,0.97069696969697
384,380,147,1.001
385.247159090909,381,150.348484848485,1.03130303030303
387.682709447415,381,138.951871657754,1.06160606060606
389.494318181818,380.505681818182,134.011363636364,1.09190909090909
390.653297682709,380,136.919786096257,1.12221212121212
391.561065197429,379.438934802571,141.805325987144,1.15251515151515
392,379,144.479338842975,1.18281818181818
392,379,143.070409982175,1.21312121212121
392.285583103765,379,139.714416896235,1.24342424242424
393.395721925134,379,139.395721925134,1.27372727272727
392.786042240588,377.179063360882,135.751147842057,1.3040303030303
392.509803921569,374.470588235294,147.78431372549,1.33433333333333
392.586776859504,372.173553719008,160.347107438017,1.36463636363636
391.005509641873,371.331496786042,152.03305785124,1.39493939393939
388.757575757576,372.484848484848,150.909090909091,1.42524242424242
388,374.142045454545,192.670454545454,1.45554545454545
388.167557932264,375,241.178253119429,1.48584848484848
390.42513368984,375.95008912656,247.724598930481,1.51615151515152
392.37741046832,377.754820936639,242.62258953168,1.54645454545455
393.295684113866,379,235.199265381084,1.57675757575758
393.377005347594,379,221.28431372549,1.60706060606061
390.694214876033,379,226.840220385675,1.63736363636364
388,378.979797979798,198.69696969697,1.66766666666667
388,378.061524334252,184.922865013774,1.6979696969697
388.644155844156,378.322077922078,198.675324675325,1.72827272727273
390.199265381084,379,160.191919191919,1.75857575757576
391.35261707989,379,171.938475665748,1.78887878787879
394.035812672176,378.964187327824,192.101928374656,1.81918181818182
394.954086317723,378.045913682277,143.433425160698,1.84948484848485
395.846702317291,378,141,1.87978787878788
396,378,145.427807486631,1.91009090909091
397.326905417814,378,149.855831037649,1.94039393939394
399,378,143.591368227732,1.97069696969697
399,378,139,2.001
399,378,141.673796791444,2.03130303030303
399.80624426079,378.80624426079,162.962350780532,2.06160606060606
400,378.29679144385,156.748663101604,2.09190909090909
400,378.612488521579,145.875114784206,2.12221212121212
400.910873440285,378,157.534759358289,2.15251515151515
399.128342245989,378,168.229946524064,2.18281818181818
397.295684113866,378.852157943067,172.408631772268,2.21312121212121
397.747771836007,379.747771836007,172.252228163993,2.24342424242424
398,381.316804407714,151.589531680441,2.27372727272727
398,383.153351698806,141.576675849403,2.3040303030303
397.009803921569,385.990196078431,132.039215686275,2.33433333333333
397.901069518717,385.098930481283,135.604278074866,2.36463636363636
398.816345270891,385.816345270891,140.898071625344,2.39493939393939
399,386,139.147950089127,2.42524242424242
398.37741046832,383.509641873278,149.829201101928,2.45554545454545
398,378.850267379679,147.025846702317,2.48584848484848
