rs_left,rs_right,rs_sound,tx
388,400,182,0.001
385.217468805704,400.782531194296,161.085561497326,0.0313030303030303
385.600378787879,402,147.204545454545,0.0616060606060606
389.863636363636,401.431818181818,145.477272727273,0.0919090909090909
392.247771836007,402,150.880570409982,0.122212121212121
393,402,143,0.152515151515152
393,402,143,0.182818181818182
390.430481283422,402,138.717468805704,0.213121212121212
390.770431588613,402.770431588613,168.817263544536,0.243424242424242
391,403,158.614973262032,0.273727272727273
391.576675849403,403.576675849403,143.233241505969,0.304030303030303
393.029411764706,404,139.009803921569,0.334333333333333
395.70320855615,404,139.901069518717,0.364636363636364
394.415329768271,404.792335115864,139.207664884135,0.394939393939394
392.547348484848,405,136.094696969697,0.425242424242424
390.098930481283,404.366310160428,139.435828877005,0.455545454545455
389,404,152.276400367309,0.485848484848485
389,404,160.540863177227,0.516151515151515
391.197860962567,404,150.475935828877,0.546454545454545
393.561065197429,404,154.805325987144,0.576757575757576
394,404,167.852049910873,0.607060606060606
394.569518716578,404,151.927807486631,0.637363636363636
395.474747474748,404,135.050505050505,0.667666666666667
395.606978879706,404.393021120294,134.393021120294,0.697969696969697
394.357954545455,405,136.284090909091,0.728272727272727
394,404.277183600713,135.554367201426,0.758575757575758
393.367309458219,403.367309458219,155.246097337006,0.788878787878788
393,401.930481283422,155.235294117647,0.819181818181818
393,401,155.973370064279,0.849484848484849
393.714416896235,401,158.569329660239,0.879787878787879
395,400.465240641711,147.625668449198,0.910090909090909
396.357208448118,400.678604224059,147.178145087236,0.940393939393939
397,401,147.775022956841,0.97069696969697
397.5,401.5,143,1.001
398.80624426079,402.403122130395,139.837465564738,1.03130303030303
400,403.311942959002,144.504456327986,1.06160606060606
400,403.790633608815,138.371900826446,1.09190909090909
400,403,136.765840220386,1.12221212121212
400.17825311943,403.089126559715,141.82174688057,1.15251515151515
402,404,142.245179063361,1.18281818181818
403.101928374656,404,146.836547291093,1.21312121212121
405,403.722816399287,147.505347593583,1.24342424242424
405.173553719008,403,143.256198347107,1.27372727272727
