rs_left,rs_right,rs_sound,tx
370,321,141,0.001
366.674242424242,319.168560606061,131.505681818182,0.0313030303030303
376.965909090909,315,143.617424242424,0.0616060606060606
374.465240641711,316,145.160427807487,0.0919090909090909
380.14233241506,314.714416896235,153.640955004591,0.122212121212121
384.089126559715,312.366310160428,160.188057040998,0.152515151515152
383.652892561983,312.347107438017,147.570247933884,0.182818181818182
383.469237832874,313.632690541781,139.305785123967,0.213121212121212
393.761140819964,312.445632798574,150.54367201426,0.243424242424242
395.867768595041,307.867768595041,141.914600550964,0.273727272727273
383.984848484848,307.767379679144,136,0.304030303030303
372.050505050505,310.484848484848,145.40404040404,0.334333333333333
361.628099173554,311.586776859504,149.214876033058,0.364636363636364
350.460784313725,309.713012477718,140.356506238859,0.394939393939394
342.547348484848,306.547348484848,145.337121212121,0.425242424242424
346.435828877005,302.831550802139,140.959893048128,0.455545454545455
347.918273645546,300.459136822773,138.867768595041,0.485848484848485
345.62258953168,299.540863177227,139.786042240588,0.516151515151515
341.069518716578,299.732620320856,137.465240641711,0.546454545454545
338.388429752066,301.265381083563,140.265381083563,0.576757575757576
346.247771836007,301.643493761141,140.108734402852,0.607060606060606
351.556818181818,299.852272727273,136.738636363636,0.637363636363636
352.535353535354,295.969696969697,148.070707070707,0.667666666666667
358.539944903581,292.153351698806,149.496786042241,0.697969696969697
360.342245989305,290.668449197861,149.625668449198,0.728272727272727
356.540863177227,290.918273645546,157.653810835629,0.758575757575758
355.295684113866,294.295684113866,133.295684113866,0.788878787878788
356.871657754011,296.128342245989,135.192513368984,0.819181818181818
355.089126559715,297.910873440285,137.866310160428,0.849484848484849
360.234159779614,298.872359963269,134.510560146924,0.879787878787879
372.449035812672,299.275482093664,142.683195592287,0.910090909090909
368.868686868687,300.581267217631,152.481175390266,0.940393939393939
360,303,142.217468805704,0.97069696969697
360,303,144,1.001
358.163452708907,300.245179063361,141.245179063361,1.03130303030303
348.79797979798,295.817263544536,142.673094582185,1.06160606060606
337.093663911846,297.790633608815,134.418732782369,1.09190909090909
347.808080808081,297.127640036731,136,1.12221212121212
367.459136822773,297.908172635445,136.367309458219,1.15251515151515
376.641873278237,296.071625344353,143.71349862259,1.18281818181818
364.645546372819,296.88246097337,138.70523415978,1.21312121212121
359.114081996435,293.891265597148,137.222816399287,1.24342424242424
374.776859504132,290.388429752066,142.853994490358,1.27372727272727
367.984848484849,288.355614973262,153.170231729055,1.3040303030303
352.950980392157,290.960784313726,146.941176470588,1.33433333333333
348.494652406417,287.395721925134,141.593582887701,1.36463636363636
342.285583103765,284.550964187328,145.081726354454,1.39493939393939
336.592286501377,286.203856749311,137.184573002755,1.42524242424242
334.366310160428,288.267379679144,135.267379679144,1.45554545454545
331.943985307622,287.943985307622,136.448117539027,1.48584848484848
331.025711662075,287.025711662075,143.794306703398,1.51615151515152
337.930481283422,290.465240641711,134.470588235294,1.54645454545455
342.122130394858,291.780532598714,137.683195592286,1.57675757575758
340.286987522282,292,140.356506238859,1.60706060606061
337.239669421488,290.826446280992,137.479338842975,1.63736363636364
344.823529411765,294.901960784314,154.607843137255,1.66766666666667
343.183654729109,296.816345270891,153.183654729109,1.6979696969697
339.694214876033,292.867768595041,149.694214876033,1.72827272727273
339,291.277183600713,158.396613190731,1.75857575757576
343.567234848485,295.567234848485,156.127840909091,1.78887878787879
346,298.548051948052,144.779220779221,1.81918181818182
340.568181818182,291.757575757576,234.867424242425,1.84948484848485
349.59595959596,288.382920110193,365.38567493113,1.87978787878788
353.371900826446,289.581267217631,368.768595041322,1.91009090909091
349.183600713013,290,289.313725490196,1.94039393939394
344.612488521579,288.80624426079,234.706152433425,1.97069696969697
341.969696969697,288.515151515152,231.818181818182,2.001
341,290.262032085561,239.896613190731,2.03130303030303
342.606978879706,291.357208448118,248.891643709825,2.06160606060606
346.930481283422,289.069518716577,277.256684491979,2.09190909090909
345.504456327986,290.495543672014,294.101604278075,2.12221212121212
347.715335169881,293.061524334252,246.800734618916,2.15251515151515
351.898071625344,294.898071625344,217.757575757576,2.18281818181818
353.734618916437,298.57116620753,331.990817263545,2.21312121212121
355.831550802139,304.663101604278,480.070409982175,2.24342424242424
359.388429752066,309.173553719008,464.082644628099,2.27372727272727
366.757575757576,310.378787878788,462.825757575758,2.3040303030303
371.529411764706,313.529411764706,409.901960784314,2.33433333333333
374.604278074866,315.802139037433,402.593582887701,2.36463636363636
377.621212121212,316.068181818182,358.931818181817,2.39493939393939
377.545454545455,314.484848484848,251.333333333333,2.42524242424242
372.724517906336,315.862258953168,192.586776859504,2.45554545454545
371.224058769513,314.887970615243,187.591368227732,2.48584848484848
374.897153351699,313.051423324151,148.105601469238,2.51615151515152
370.735537190083,316.754820936639,143.887052341598,2.54645454545455
366.713012477718,317.426024955437,151.591800356506,2.57675757575758
368.203856749311,315.265381083563,166.673094582185,2.60706060606061
378,312,178.251336898396,2.63736363636364
378,312,135.470588235294,2.66766666666667
379.873106060606,311.063446969697,135,2.6979696969697
385,314.37741046832,142.443526170799,2.72827272727273
382.933884297521,313,144.968778696052,2.75857575757576
374.852049910873,313.430481283422,161.843137254902,2.78887878787879
368.071625344353,316,143.107438016529,2.81918181818182
369.908172635445,316,145.862258953168,2.84948484848485
367.459893048128,313.459893048128,135.839572192513,2.87978787878788
