rs_left,rs_right,rs_sound,tx
336,403,137,0.001
335.168560606061,400.831439393939,134.674242424242,0.0313030303030303
333.376114081996,399.871657754011,160.827094474153,0.0616060606060606
333.568181818182,401.431818181818,150.272727272727,0.0919090909090909
333,402,144.143250688705,0.122212121212121
333,400.366310160428,141.455436720143,0.152515151515152
333.449035812672,399,137.856749311295,0.182818181818182
333.632690541781,399,140.978879706152,0.213121212121212
333.277183600713,398.445632798574,149.119429590018,0.243424242424242
334,396.305785123967,140.04132231405,0.273727272727273
334.356506238859,393,143.039215686275,0.304030303030303
336,392.010101010101,139.444444444444,0.334333333333333
335.220779220779,391.38961038961,141.883116883117,0.364636363636364
334,392.838068181818,137,0.394939393939394
334.877869605142,395.877869605142,137.658402203857,0.425242424242424
338,399.401069518717,140.133689839572,0.455545454545455
338,401.974288337925,141.128558310376,0.485848484848485
338,401.056014692378,145.719926538108,0.516151515151515
342.31129476584,397.550964187328,137.37741046832,0.546454545454545
342.469237832874,397.469237832874,161.876951331497,0.576757575757576
341,395.816345270891,154.898071625344,0.607060606060606
340.901069518717,395.29679144385,151.483957219251,0.637363636363636
340.009803921569,397.970588235294,164.852941176471,0.667666666666667
340,396.183654729109,141.38751147842,0.697969696969697
342.406417112299,396.802139037433,145.417112299465,0.728272727272727
344.42883379247,397.714416896235,136.998163452709,0.758575757575758
343.569518716578,397.713012477718,146.847593582888,0.788878787878788
340.856749311295,395.928374655647,134.179063360882,0.819181818181818
337.183654729109,394.091827364555,138.770431588613,0.849484848484849
335.306595365419,393.153297682709,142.386809269162,0.879787878787879
336.520661157025,393,145.280991735537,0.910090909090909
338.357208448118,393.678604224059,138.535353535354,0.940393939393939
338,395,135.653810835629,0.97069696969697
338,395,143,1.001
340.754820936639,396.836547291093,158.610651974288,1.03130303030303
342.623885918004,396.188057040998,152.692513368984,1.06160606060606
343,396,140.132231404959,1.09190909090909
343.623885918004,396.623885918004,133.504456327986,1.12221212121212
345.091827364555,401.183654729109,138.908172635445,1.15251515151515
346.928374655647,404.856749311295,137.071625344353,1.18281818181818
348.713012477718,405,134.430481283422,1.21312121212121
349,406.540863177227,132.459136822773,1.24342424242424
350.37741046832,404.933884297521,150.595041322314,1.27372727272727
351,404,148.984848484849,1.3040303030303
351.494949494949,403.50505050505,143.979797979798,1.33433333333333
352,403.802139037433,139.582887700535,1.36463636363636
353.632690541781,404,142.898071625344,1.39493939393939
353.265381083563,404,146.203856749311,1.42524242424242
353,404.633689839572,141.29679144385,1.45554545454545
353,405.52495543672,170.022281639929,1.48584848484848
353,406,218.016098484848,1.51615151515152
352.267379679144,406.732620320856,211.229946524064,1.54645454545455
351.219467401286,407,200,1.57675757575758
351.698806244261,407.698806244261,190.91551882461,1.60706060606061
351.418181818182,406.836363636364,184.090909090909,1.63736363636364
350.525252525253,406,183.424242424242,1.66766666666667
350.786042240588,406,194.432506887052,1.6979696969697
352,405.37741046832,191.256198347108,1.72827272727273
351.554367201426,403.554367201426,148.434937611408,1.75857575757576
351,402.367309458219,140.836547291093,1.78887878787879
350.449035812672,401.449035812672,143.95867768595,1.81918181818182
348.633689839572,399.633689839572,143.445632798574,1.84948484848485
345.57116620753,396.57116620753,136.57116620753,1.87978787878788
343.826446280992,395.928374655647,135.101928374656,1.91009090909091
346.564171122995,401.752228163993,138.188057040998,1.94039393939394
349.490358126722,405,138.836547291093,1.97069696969697
355,405,137,2.001
355.682709447415,404,136.737967914439,2.03130303030303
358.321395775941,403.678604224059,141.106519742883,2.06160606060606
358.767379679144,402.534759358289,150.27807486631,2.09190909090909
357.872359963269,400.617079889807,139.148760330578,2.12221212121212
356.910873440285,398.044563279857,146.643493761141,2.15251515151515
355.128342245989,398.935828877005,139.513368983957,2.18281818181818
357.713012477718,401,142.991087344028,2.21312121212121
358.744719926538,400.744719926538,148.681359044995,2.24342424242424
358,400,139.336898395722,2.27372727272727
357.809659090909,399.746212121212,141.190340909091,2.3040303030303
354.980392156863,395.990196078431,143.990196078431,2.33433333333333
353.197860962567,395.098930481283,143.098930481283,2.36463636363636
354.698806244261,394.698806244261,140.216712580349,2.39493939393939
354.219467401286,393.780532598714,146.707988980716,2.42524242424242
354.866310160428,392.866310160428,135.802139037433,2.45554545454545
353.948576675849,391.948576675849,141.308539944904,2.48584848484848
352.112029384757,390.112029384757,152.32782369146,2.51615151515152
353.724517906336,391.724517906336,140.066115702479,2.54645454545455
