rs_left,rs_right,rs_sound,tx
353,388,180,0.001
353.168560606061,389.831439393939,157.202651515152,0.0313030303030303
353.399621212121,387.799242424242,140.003787878788,0.0616060606060606
354.465240641711,387.465240641711,136.534759358289,0.0919090909090909
355,388.623885918004,155.340463458111,0.122212121212121
355,388.954086317723,146.449035812672,0.152515151515152
355,388.035812672176,135.429752066116,0.182818181818182
355,387.167965367965,153.304761904762,0.213121212121212
353.519742883379,387.74012855831,141.457300275482,0.243424242424242
353,386.683195592286,164.31129476584,0.273727272727273
353,385.423324150597,164.583103764922,0.304030303030303
352.092592592593,385.907407407407,173.055555555556,0.334333333333333
351.105113636364,386,143.678977272727,0.364636363636364
350.207664884135,387.584670231729,139.207664884135,0.394939393939394
350,388.683600713012,162.242424242424,0.425242424242424
349.389204545455,388.389204545455,155.286931818182,0.455545454545455
349.52495543672,388,153.449197860963,0.485848484848485
351.664884135472,388,178.648841354724,0.516151515151515
352,388,147.05785123967,0.546454545454545
352.72816399287,387.27183600713,135.631016042781,0.576757575757576
352.361799816345,386.361799816345,140.382001836547,0.607060606060606
352,386.556473829201,139.548209366391,0.637363636363636
352.474747474747,387,142.646464646465,0.667666666666667
352.618538324421,386.618538324421,146.566844919786,0.697969696969697
352.545454545455,386,139.363636363636,0.728272727272727
353,386.460729746444,140.764378478664,0.758575757575758
353,386.77183600713,145.368983957219,0.788878787878788
353,386,155.727272727273,0.819181818181818
353,387.704099821747,150.349376114082,0.849484848484849
353.326905417814,390.326905417814,141.557392102847,0.879787878787879
354,391,159.42513368984,0.910090909090909
354.137310606061,390.862689393939,176.292613636364,0.940393939393939
355,390,150.30303030303,0.97069696969697
355,390.454545454545,135.454545454545,1.001
355,390.627180899908,140.846648301194,1.03130303030303
355.291092745638,390.291092745638,145.215794306703,1.06160606060606
356,391,138.235294117647,1.09190909090909
356,390.902662993572,147.389348025712,1.12221212121212
356,390.060606060606,150.878787878788,1.15251515151515
356.418732782369,391.581267217631,141.97520661157,1.18281818181818
357,391,143.425160697888,1.21312121212121
357,391,154.6391184573,1.24342424242424
357.168449197861,390.831550802139,138.494652406417,1.27372727272727
357.940285204991,390,136.836007130125,1.3040303030303
357.049019607843,390,149.313725490196,1.33433333333333
356.132231404959,390.867768595041,158.677685950413,1.36463636363636
356.292335115865,392.707664884136,138,1.39493939393939
357.189164370983,392,138.189164370983,1.42524242424242
358.107438016529,392,138.785123966942,1.45554545454545
359,391.95008912656,137.698752228164,1.48584848484848
359,390.167557932264,162.654188948307,1.51615151515152
358.168044077135,390,154.184573002755,1.54645454545455
358.23507805326,390.23507805326,149.466483011937,1.57675757575758
359,391,162.065062388592,1.60706060606061
359,391.04132231405,150.462809917355,1.63736363636364
359,391.959595959596,138.525252525253,1.66766666666667
359.877869605142,391.122130394858,147.656565656566,1.6979696969697
