rs_left,rs_right,rs_sound,tx
574,534,133,0.001
575.565062388592,537.782531194296,143.827094474153,0.0313030303030303
576.623885918004,539.623885918004,158.092691622103,0.0616060606060606
580.465240641711,543.395721925134,140.791443850267,0.0919090909090909
582.285583103765,546.285583103765,139.500459136823,0.122212121212121
583,545.910873440285,136.455436720143,0.152515151515152
583.449035812672,545,139.143250688705,0.182818181818182
584,545,144.836547291093,0.213121212121212
583.445632798574,545,139.130124777184,0.243424242424242
583,545.68870523416,137.509641873278,0.273727272727273
582.410873440285,544.82174688057,143.534759358289,0.304030303030303
581.505050505051,543.505050505051,145.010101010101,0.334333333333333
579.79679144385,542.197860962567,142.395721925134,0.364636363636364
577.698806244261,540.698806244261,138.494031221304,0.394939393939394
577.852049910873,539.573975044563,139.260249554367,0.425242424242424
577.754820936639,539.62258953168,155.584022038567,0.455545454545455
577,539.459136822773,152.264462809917,0.485848484848485
576.554367201426,539,139.989304812834,0.516151515151515
576.694214876033,539.347107438017,135.347107438017,0.546454545454545
578,539.734618916437,143.961432506887,0.576757575757576
578.183654729109,539.183654729109,164.714416896235,0.607060606060606
579,540.197860962567,157.219251336898,0.637363636363636
579.505050505051,541,157.070707070707,0.667666666666667
580.423324150597,541.846648301194,161.883379247016,0.697969696969697
581,543,152.368983957219,0.728272727272727
581,543.229568411387,142.902662993572,0.758575757575758
581.143493761141,543.856506238859,153.704099821747,0.788878787878788
582.073863636364,543.073863636364,139.704545454545,0.819181818181818
583.938475665748,544,139.753902662994,0.849484848484849
585.376114081996,544.376114081996,140.614973262032,0.879787878787879
585.724517906336,545,137.203856749311,0.910090909090909
584.80624426079,545,142.031221303949,0.940393939393939
584.217468805704,544.891265597148,138.761140819964,0.97069696969697
586,544,145,1.001
584.608734402852,544.391265597148,142.173796791444,1.03130303030303
583.699810606061,545,147.001893939394,1.06160606060606
582.767379679144,544.302139037433,153.767379679144,1.09190909090909
582,541.872359963269,150.957759412305,1.12221212121212
581.910873440285,540.955436720143,137.044563279857,1.15251515151515
580.128342245989,540.064171122995,137.935828877005,1.18281818181818
578.295684113866,539.147842056933,138.852157943067,1.21312121212121
577.229568411387,539,140.540863177227,1.24342424242424
576.331550802139,538.331550802139,136.989304812834,1.27372727272727
574,536.816345270891,141.295684113866,1.3040303030303
573.980392156863,535,163.941176470588,1.33433333333333
572.197860962567,535,158.593582887701,1.36463636363636
572.816345270891,534.183654729109,147.387511478421,1.39493939393939
