rs_left,rs_right,rs_sound,tx
299,322,133,0.001
301,321.782531194296,147.739750445633,0.0313030303030303
303.623885918004,325,144.761140819964,0.0616060606060606
305.878787878788,332.19696969697,148.757575757576,0.0919090909090909
310,343.919786096257,141.773618538324,0.122212121212121
310.094696969697,349.189393939394,135.852272727273,0.152515151515152
311.465240641711,350.069518716578,139.812834224599,0.182818181818182
311.643493761141,351.495543672014,147.477718360071,0.213121212121212
310.744719926538,355.744719926538,169.744719926538,0.243424242424242
310.173553719008,354.652892561983,164.314049586777,0.273727272727273
310.816345270891,352.908172635445,142.091827364555,0.304030303030303
309,351.980392156863,143.137254901961,0.334333333333333
309,350.173553719008,142.561983471074,0.364636363636364
308.668503213958,347.674012855831,132.331496786042,0.394939393939394
308.484848484848,344.757575757576,133.969696969697,0.425242424242424
309.866310160428,344.267379679144,137.133689839572,0.455545454545455
308.948576675849,346.025711662075,138.102846648301,0.485848484848485
307.112029384757,346.943985307622,141.775941230487,0.516151515151515
307,347.862258953168,138.550964187328,0.546454545454545
305.969696969697,346.742424242424,155.363636363636,0.576757575757576
302.693296602387,345.846648301194,142.766758494031,0.607060606060606
301.073863636364,344.926136363636,148.551136363636,0.637363636363636
302.058823529412,343.980392156863,167.764705882353,0.667666666666667
304.732620320856,343.089126559715,157.069518716578,0.697969696969697
305.826446280992,340.520661157025,138.644628099174,0.728272727272727
306.722816399287,338.554367201426,138.614081996435,0.758575757575758
308.88246097337,336.76492194674,135.528007346189,0.788878787878788
307.964187327824,334.928374655647,146.498622589532,0.819181818181818
307.045913682277,333.091827364555,133.642791551882,0.849484848484849
306.127640036731,330.382920110193,160.91551882461,0.879787878787879
306.767379679144,328.465240641711,146.582887700535,0.910090909090909
307,327.341354723708,145.610516934046,0.940393939393939
306.433425160698,325.866850321396,145.167125803489,0.97069696969697
306,325,134,1.001
305.081726354454,323.163452708907,134.918273645546,1.03130303030303
305,323,137.435828877005,1.06160606060606
306.449035812672,321.550964187328,140.173553719008,1.09190909090909
307,319.071625344353,139.714416896235,1.12221212121212
305.910873440285,316.910873440285,138.455436720143,1.15251515151515
304.550964187328,315.550964187328,136.203856749311,1.18281818181818
303.242424242424,315.757575757576,140.060606060606,1.21312121212121
304.509956709957,316,139.735064935065,1.24342424242424
303.642045454545,315.321022727273,137.642045454545,1.27372727272727
301.786042240588,316.213957759412,135.179063360882,1.3040303030303
301.509803921569,317,135.019607843137,1.33433333333333
302,317,137.604278074866,1.36463636363636
300.245989304813,315.830659536542,137.076648841355,1.39493939393939
299,314.273674242424,132.821022727273,1.42524242424242
299.633689839572,315.267379679144,142.139037433155,1.45554545454545
300,314.95008912656,163.748663101604,1.48584848484848
299.57116620753,314,159.131313131313,1.51615151515152
299.347107438017,313.652892561983,134.694214876033,1.54645454545455
301.030303030303,314.030303030303,137.545454545455,1.57675757575758
301.331496786042,313.662993572084,148.359044995409,1.60706060606061
300.413223140496,313,145.371900826446,1.63736363636364
300.490196078431,313,143.921568627451,1.66766666666667
300.606978879706,312.606978879706,141.711662075298,1.6979696969697
299.37741046832,312,134.490358126722,1.72827272727273
297.777183600713,312.222816399287,138.440285204991,1.75857575757576
297.484848484848,313.242424242424,133,1.78887878787879
298.465240641711,314.534759358289,132.465240641711,1.81918181818182
298.905303030303,315.905303030303,134.715909090909,1.84948484848485
300.376114081996,316.623885918004,138.752228163993,1.87978787878788
301,315.732620320856,139.197860962567,1.91009090909091
301.168560606061,315.337121212121,136.157196969697,1.94039393939394
302.205387205387,317,134.670033670033,1.97069696969697
303,317.969696969697,145.969696969697,2.001
303,319,149.015610651974,2.03130303030303
303.642791551882,318.678604224059,149.107438016529,2.06160606060606
305,318.465240641711,146.024064171123,2.09190909090909
305.127640036731,319.872359963269,154.085399449036,2.12221212121212
306,319,140.554367201426,2.15251515151515
306,319,131.641711229947,2.18281818181818
306,320.704315886134,133.556473829201,2.21312121212121
306.285583103765,322,132.285583103765,2.24342424242424
306.802139037433,322.197860962567,133.395721925134,2.27372727272727
306.091827364555,323,135.183654729109,2.3040303030303
307,323,137.058823529412,2.33433333333333
307,323,142.406417112299,2.36463636363636
308.584670231729,323.792335115864,141.415329768271,2.39493939393939
309,324,135.91571969697,2.42524242424242
307.137741046832,322,153.107438016529,2.45554545454545
308,322,135.108734402852,2.48584848484848
308,322,136.891265597148,2.51615151515152
309.673796791444,321.163101604278,137,2.54645454545455
310.773674242424,321.773674242424,136.226325757576,2.57675757575758
311.698806244261,321.301193755739,208.675849403121,2.60706060606061
310.928374655647,320.928374655647,233.438016528926,2.63736363636364
310.010101010101,320.010101010101,277.515151515151,2.66766666666667
309.091827364555,320,287.989898989899,2.6979696969697
307.395721925134,319.197860962567,247.288770053476,2.72827272727273
306.285583103765,318.285583103765,185.561983471075,2.75857575757576
306.632690541781,318.632690541781,180.817263544536,2.78887878787879
306.964187327824,319,170.818181818182,2.81918181818182
306.045913682277,319,140.515151515152,2.84948484848485
306.846702317291,319.846702317291,136.459893048128,2.87978787878788
306.239669421488,320,141.322314049587,2.91009090909091
306,320,161.322314049586,2.94039393939394
306,320,174.055258467023,2.97069696969697
305.515151515152,320.484848484848,163.424242424242,3.001
305.782531194296,321,136.479500891266,3.03130303030303
307.612488521579,320.19375573921,170.087235996327,3.06160606060606
308,320,189.143250688705,3.09190909090909
307.376114081996,319.376114081996,211.716577540107,3.12221212121212
305.407713498623,319.530762167126,215.569329660239,3.15251515151515
304.449035812672,319.550964187328,197.325068870524,3.18281818181818
304.286987522282,319,209.381461675579,3.21312121212121
303.229568411387,319,162.988062442608,3.24342424242424
303,318.331550802139,139.31550802139,3.27372727272727
303,317.423324150597,140.613406795225,3.3040303030303
303.989898989899,317.494949494949,144.494949494949,3.33433333333333
305.413223140496,318,141.694214876033,3.36463636363636
306.331496786042,317.668503213958,137.662993572085,3.39493939393939
307.915824915825,317,139.915824915825,3.42524242424242
308.37741046832,317.62258953168,136.641873278237,3.45554545454545
308,317.47504456328,135.57486631016,3.48584848484848
308.42883379247,316.57116620753,142.146005509642,3.51615151515152
309,316,147.95867768595,3.54645454545455
309.265381083563,316,143.346189164371,3.57675757575758
309.643493761141,315.82174688057,136.356506238859,3.60706060606061
