rs_left,rs_right,rs_sound,tx
332,402,135,0.001
325,402,168.4375,0.0313030303030303
334.325757575758,402.662878787879,161.090909090909,0.0616060606060606
332.604278074866,403.069518716578,140.951871657754,0.0919090909090909
331,400.752228163993,132.752228163993,0.122212121212121
329.407713498623,401.592286501377,134.653810835629,0.152515151515152
328.449035812672,403,138.347107438017,0.182818181818182
329,402.643493761141,139.643493761141,0.213121212121212
330.05303030303,401.473484848485,144.265151515152,0.243424242424242
331.68870523416,400.31129476584,144.179063360882,0.273727272727273
330.179063360882,399.393021120294,143.213957759412,0.304030303030303
326.960784313725,399,158.78431372549,0.334333333333333
324.586776859504,397.347107438017,165.148760330579,0.364636363636364
325.286987522282,394.034759358289,150.782531194296,0.394939393939394
328.219467401286,391.122130394858,143.780532598714,0.425242424242424
329.267379679144,388,141.395721925134,0.455545454545455
327.295684113866,390.163452708907,139.163452708907,0.485848484848485
324.108734402852,393.782531194296,146.793226381462,0.516151515151515
324.735537190083,396.694214876033,151.570247933884,0.546454545454545
328.796143250689,397.203856749311,149.653810835629,0.576757575757576
330.632690541781,395.183654729109,154.42883379247,0.607060606060606
328.286501377411,396,142.694214876033,0.637363636363636
321.941176470588,396.039215686275,140.098039215686,0.667666666666667
319.267379679144,397.82174688057,144.554367201426,0.697969696969697
318.68870523416,397.68870523416,146.641873278237,0.728272727272727
318.891265597148,397,140.565062388592,0.758575757575758
322.35261707989,397,152.29476584022,0.788878787878788
325,396.964187327824,147.107438016529,0.819181818181818
325,396.045913682277,149.862258953168,0.849484848484849
322.382920110193,398.617079889807,142.148760330579,0.879787878787879
321.232620320856,397.465240641711,142.534759358289,0.910090909090909
312.673094582186,397,130.653810835629,0.940393939393939
311.237967914439,397.158645276292,134.555258467023,0.97069696969697
313.911764705882,398.941176470588,140.794117647059,1.001
317.551882460973,396.33608815427,144.551882460973,1.03130303030303
318.831439393939,393.505681818182,135.022727272727,1.06160606060606
319.732620320856,393,132.267379679144,1.09190909090909
325,397.127640036731,140,1.12221212121212
324.908172635445,397.862258953168,139.632690541781,1.15251515151515
323.071625344353,395.107438016529,132.28650137741,1.18281818181818
322.11753902663,395,171.710743801653,1.21312121212121
322,395.777183600713,147.467023172906,1.24342424242424
323.37741046832,396,136.933884297521,1.27372727272727
324.089126559715,399.267379679144,163.445632798574,1.3040303030303
324.980392156863,401.941176470588,167.901960784314,1.33433333333333
330.388429752066,402,141.955922865014,1.36463636363636
332.632690541781,401.183654729109,144.714416896235,1.39493939393939
333.713012477718,401,140.295900178253,1.42524242424242
334.642045454545,402.926136363636,137.357954545455,1.45554545454545
336.108734402852,405.108734402852,137,1.48584848484848
336.108734402852,401.54367201426,137,1.51615151515152
330.826446280992,400.137741046832,137,1.54645454545455
330,401.515151515152,137,1.57675757575758
334.136363636364,403.378787878788,143.893939393939,1.60706060606061
334.802139037433,402.20320855615,163.171122994652,1.63736363636364
332.529411764706,400.019607843137,159.78431372549,1.66766666666667
329.378787878788,400.621212121212,144.189393939394,1.6979696969697
330.652892561983,401.826446280992,141.520661157025,1.72827272727273
331,401.255280073462,138.021120293848,1.75857575757576
327.782531194296,399.069518716578,135.069518716578,1.78887878787879
324.930481283422,398.534759358289,135.604278074866,1.81918181818182
322.683195592287,399.877869605142,147.534435261708,1.84948484848485
321.714416896235,400.285583103765,152.069788797062,1.87978787878788
323.534759358289,397.930481283422,138.139037433155,1.91009090909091
323.321395775941,397.678604224059,136.606978879706,1.94039393939394
325.387511478421,399.19375573921,138.581267217631,1.97069696969697
327.515151515152,398.454545454545,138.939393939394,2.001
327.158645276292,394.475935828877,152.144385026738,2.03130303030303
325.035812672176,390.678604224059,167.85766758494,2.06160606060606
322.767379679144,390.465240641711,153.27807486631,2.09190909090909
321.872359963269,392.510560146924,141.127640036731,2.12221212121212
321,396,141.286987522282,2.15251515151515
322.347107438016,395.550964187328,136.245179063361,2.18281818181818
323.643493761141,394.643493761141,141.495543672014,2.21312121212121
323.255280073462,394,144.723599632691,2.24342424242424
323.652892561983,393.826446280992,142.214876033058,2.27372727272727
321.816345270891,392.816345270891,148,2.3040303030303
319.980392156863,391.039215686275,147.78431372549,2.33433333333333
319.826446280992,393,138.652892561984,2.36463636363636
320.67825311943,393.643493761141,142.930481283423,2.39493939393939
320.658402203857,394.122130394858,145.463728191001,2.42524242424242
322.724517906336,390.586776859504,142.617079889807,2.45554545454545
321.054367201426,388.108734402852,157.749554367201,2.48584848484848
321.945632798574,389.891265597148,137.250445632798,2.51615151515152
324,392,147.42513368984,2.54645454545455
323.469237832874,391.734618916437,156.957759412304,2.57675757575758
322.356506238859,390.82174688057,141.039215686274,2.60706060606061
324.214876033058,389.785123966942,134.220385674932,2.63736363636364
326.969696969697,387.030303030303,162.686868686869,2.66766666666667
327,387.908172635445,148.469237832874,2.6979696969697
331.132231404959,391.305785123967,166.834710743802,2.72827272727273
332.668449197861,394.554367201426,143.989304812834,2.75857575757576
335,393.121212121212,131.575757575758,2.78887878787879
335.128342245989,394.320855614973,144.026737967915,2.81918181818182
336.910873440285,398.777183600713,158.286987522282,2.84948484848485
338.693404634581,399.846702317291,138.679144385026,2.87978787878788
338.215909090909,400,135.784090909091,2.91009090909091
335.612488521579,398.418732782369,143.868686868687,2.94039393939394
333.565062388592,396,137.392156862745,2.97069696969697
330,396,157,3.001
331.836547291093,396.918273645546,136.797979797979,3.03130303030303
333.623885918004,394.564171122995,152.862745098039,3.06160606060606
334.724517906336,394,148.305785123967,3.09190909090909
333.752228163993,394,150.614973262032,3.12221212121212
335.954086317723,390.954086317723,157.403122130395,3.15251515151515
335.035812672176,390.035812672176,145.465564738292,3.18281818181818
335,391.76492194674,153.824609733701,3.21312121212121
335.777183600713,390.445632798574,142.565062388592,3.24342424242424
336.68870523416,390,135.556473829201,3.27372727272727
337.589126559715,390,132.82174688057,3.3040303030303
337.010101010101,389.010101010101,132.989898989899,3.33433333333333
336,388,135.239669421488,3.36463636363636
336.643493761141,389.286987522282,135.069518716577,3.39493939393939
334.860962566845,392.852049910874,132.573975044563,3.42524242424242
334.62258953168,395.245179063361,134.490358126722,3.45554545454545
335,396.540863177227,141.408631772268,3.48584848484848
335,393.786042240588,146.918273645546,3.51615151515152
334.267379679144,390,147.633689839572,3.54645454545455
332.452651515152,391.642045454546,150.284090909091,3.57675757575758
333.356506238859,393,140.113190730837,3.60706060606061
333.413223140496,393.586776859504,159.818181818183,3.63736363636364
331.989898989899,394,225.9797979798,3.66766666666667
329.730027548209,391.883379247016,288.239669421488,3.6979696969697
328.663101604278,389.331550802139,308.668449197861,3.72827272727273
330,390.459136822773,306.62258953168,3.75857575757576
329.713012477718,392,284.493761140818,3.78887878787879
329.534759358289,392.534759358289,200.893048128341,3.81918181818182
329.561065197429,392.561065197429,157.221303948576,3.84948484848485
327.928374655647,390.928374655647,146,3.87978787878788
326.275482093664,388.173553719008,168.589531680442,3.91009090909091
327.376114081996,385.623885918004,221.982174688057,3.94039393939394
328.682709447415,384,193.144385026738,3.97069696969697
325.545454545455,384.969696969697,168.787878787878,4.001
324.80624426079,385.19375573921,162.224977043159,4.03130303030303
327.559714795009,384.311942959002,160.761140819964,4.06160606060606
330.371900826446,385.837465564738,148.256198347107,4.09190909090909
327.744719926538,388.617079889807,163.083562901745,4.12221212121212
325.82174688057,385.643493761141,230.573975044563,4.15251515151515
323.550964187328,382.898071625344,213.305785123967,4.18281818181818
323.367309458219,383.632690541781,207.796143250689,4.21312121212121
324.57116620753,382.42883379247,211.710743801654,4.24342424242424
325.406417112299,381,227.83422459893,4.27372727272727
323.267379679144,381.267379679144,212.950089126559,4.3040303030303
325.941176470588,383.941176470588,192.450980392156,4.33433333333333
323.305785123967,383.101928374656,177.63085399449,4.36463636363636
321.662993572085,382.668503213958,148.353535353535,4.39493939393939
322.757575757576,381.515151515152,141,4.42524242424242
321.862258953168,379.449035812672,141,4.45554545454545
320.945632798574,376,141.380570409982,4.48584848484848
