rs_left,rs_right,rs_sound,tx
247,313,137,0.001
247.168560606061,313.831439393939,158.617424242424,0.0313030303030303
246.355218855219,314,145.038720538721,0.0616060606060606
246,316.465240641711,144,0.0919090909090909
246,317.642791551882,162.640955004591,0.122212121212121
244.926024955437,317,134.926024955437,0.152515151515152
244.034759358289,317,134.034759358289,0.182818181818182
244,317.88246097337,139.29476584022,0.213121212121212
244,316.398530762167,138.398530762167,0.243424242424242
243.302139037433,316.697860962567,138.697860962567,0.273727272727273
242.393021120294,317.606978879706,139,0.304030303030303
243,316.960784313726,135.392156862745,0.334333333333333
243,316.069518716578,144.304812834225,0.364636363636364
243,316.846648301194,144.153351698806,0.394939393939394
243.742424242424,317,152.166666666667,0.425242424242424
244,317,148.471074380165,0.455545454545455
244,316.42883379247,142.715335169881,0.485848484848485
244,316,144.800356506239,0.516151515151515
244,316,145.107954545455,0.546454545454545
244,316.786987522282,144.786987522282,0.576757575757576
244.698806244261,318.397612488522,142.204775022957,0.607060606060606
245.617079889807,317.765840220386,142.234159779614,0.637363636363636
245.480392156863,317.519607843137,144.558823529412,0.667666666666667
245.423324150597,318.423324150597,148.963269054178,0.697969696969697
246.663101604278,318.336898395722,153,0.728272727272727
247,318.744719926538,163.426078971534,0.758575757575758
246.356506238859,319,153.486631016043,0.788878787878788
246,317.347107438017,143.245179063361,0.819181818181818
246.469237832874,316,140.061524334252,0.849484848484849
247,316.376114081996,151.787878787879,0.879787878787879
246.724517906336,317.275482093664,166.388429752066,0.910090909090909
246,318,145.991087344029,0.940393939393939
246.168560606061,318,133.674242424242,0.97069696969697
247,317.5,134.5,1.001
246.168560606061,317,136.988636363636,1.03130303030303
245.341354723708,317,142.293226381462,1.06160606060606
246,316.534759358289,138.069518716578,1.09190909090909
246,315.131628787879,135.131628787879,1.12221212121212
246.073975044563,316.073975044563,136.961675579323,1.15251515151515
246.965240641711,316.965240641711,148.548128342246,1.18281818181818
244.265381083563,314.632690541781,140.530762167126,1.21312121212121
242.722816399287,314,137.722816399287,1.24342424242424
242.173553719008,314,138.909090909091,1.27372727272727
242.905303030303,314.094696969697,147.05303030303,1.3040303030303
241.961904761905,315,137.961904761905,1.33433333333333
241.096103896104,315,137.096103896104,1.36463636363636
241.337006427916,316.331496786042,145.298438934803,1.39493939393939
240.249770431589,317,152.505050505051,1.42524242424242
241,317,138.935828877005,1.45554545454545
241.112029384757,317.056014692378,153.047750229568,1.48584848484848
242.948576675849,317.974288337925,137.43709825528,1.51615151515152
243.892561983471,318,137,1.54645454545455
244.295684113866,317.295684113866,150.860422405877,1.57675757575758
244.792335115865,318.207664884135,141.415329768271,1.60706060606061
244,318.901069518717,142.802139037433,1.63736363636364
244,318.009803921569,141.019607843137,1.66766666666667
244.908172635445,318,154.62258953168,1.6979696969697
245,318.826446280992,139.471074380165,1.72827272727273
245.744719926538,319.744719926538,145.681359044995,1.75857575757576
244.852157943067,318.852157943067,161.48668503214,1.78887878787879
244,318,146.165775401069,1.81918181818182
244,318,134.579322638146,1.84948484848485
244.872359963269,317.127640036731,137.489439853076,1.87978787878788
245,316.232620320856,137.232620320856,1.91009090909091
245,316,137.678604224059,1.94039393939394
244.891265597148,315.891265597148,137.631016042781,1.97069696969697
244,315,151,2.001
