rs_left,rs_right,rs_sound,tx
407,418,191,0.001
401.674242424242,417.168560606061,133.505681818182,0.0313030303030303
404.623885918004,415.623885918004,133.128342245989,0.0616060606060606
403.604278074866,414.534759358289,144.534759358289,0.0919090909090909
400.128342245989,413.376114081996,145.871657754011,0.122212121212121
398.469237832874,413.530762167126,148.061524334252,0.152515151515152
399.796143250689,414.898071625344,145.407713498623,0.182818181818182
402.367309458219,415.265381083563,144.305785123967,0.213121212121212
401.891265597148,412.336898395722,150,0.243424242424242
400.331550802139,411.668449197861,141.978609625668,0.273727272727273
400,412,148.380165289256,0.304030303030303
400.494949494949,412,157.979797979798,0.334333333333333
401,412,155.989304812834,0.364636363636364
401.301193755739,411.698806244261,144.277318640955,0.394939393939394
401.122130394858,410.780532598714,131.438934802571,0.425242424242424
397.732620320856,410,134.336898395722,0.455545454545455
396.459136822773,411.62258953168,143.949494949495,0.485848484848485
396.445632798574,412.554367201426,143.652406417112,0.516151515151515
397,411.652892561983,139.429752066116,0.546454545454545
396.469237832874,411.530762167126,142.938475665748,0.576757575757576
395.534759358289,412.465240641711,140.713012477718,0.607060606060606
398.27807486631,410,144.139037433155,0.637363636363636
400,410.949494949495,143.10101010101,0.667666666666667
399.606978879706,412.393021120294,153.576675849403,0.697969696969697
398.37741046832,413,161.482093663912,0.728272727272727
397,413,141.280073461892,0.758575757575758
397.286987522282,412.856506238859,159.286987522282,0.788878787878788
399.035812672176,412.071625344353,159.997245179063,0.819181818181818
399.954086317723,413.908172635445,134.285583103765,0.849484848484849
400.846702317291,414,140.620320855615,0.879787878787879
401.5085995086,414,142.771498771499,0.910090909090909
399.920202020202,414,139.39898989899,0.940393939393939
399.158645276292,413.920677361854,143.603386809269,0.97069696969697
400.941176470588,413.029411764706,139.147058823529,1.001
401.887970615243,414.775941230487,135.448117539027,1.03130303030303
401.168560606061,415,133.337121212121,1.06160606060606
399.534759358289,413.534759358289,136.663101604278,1.09190909090909
400.255280073462,414.127640036731,141.127640036731,1.12221212121212
401.862258953168,414.954086317723,142.091827364555,1.15251515151515
399.107438016529,414.035812672176,143.928374655647,1.18281818181818
398.143493761141,413.143493761141,140.573975044563,1.21312121212121
397.252228163993,415.991087344029,140,1.24342424242424
397,417,141.357954545455,1.27372727272727
398,416.816345270891,143.632690541781,1.3040303030303
397.980392156863,415.009803921569,139.970588235294,1.33433333333333
396.197860962567,415.901069518717,137.29679144385,1.36463636363636
396,416.816345270891,150.061524334252,1.39493939393939
396.713012477718,417.713012477718,160.130124777184,1.42524242424242
395.754820936639,416.754820936639,143.699724517906,1.45554545454545
395.52495543672,416.52495543672,133.57486631016,1.48584848484848
398.830303030303,416.056565656566,143.490909090909,1.51615151515152
397.267379679144,413.401069518717,144,1.54645454545455
397,414.515151515152,156.878787878788,1.57675757575758
398.337006427916,416.337006427916,166.348025711662,1.60706060606061
397.826446280992,416.413223140496,154.330578512397,1.63736363636364
395.484848484848,416,142.989898989899,1.66766666666667
394,418.465240641711,168.295900178253,1.6979696969697
394.802139037433,419.802139037433,153.144385026738,1.72827272727273
394.285583103765,419.285583103765,205.153351698806,1.75857575757576
394.632690541781,419,217.876951331497,1.78887878787879
394.449035812672,417.347107438017,205.388429752066,1.81918181818182
393.089126559715,416,181.782531194296,1.84948484848485
392.736742424242,415.263257575758,154.842803030303,1.87978787878788
394.534759358289,414.232620320856,140.72192513369,1.91009090909091
395,414,145.143250688705,1.94039393939394
394.420677361854,414.579322638146,164.0623885918,1.97069696969697
394.969696969697,415,180.818181818182,2.001
396.80624426079,414.19375573921,188.209366391185,2.03130303030303
398,412.688057040998,191.559714795009,2.06160606060606
397.136363636364,412.431818181818,190.25,2.09190909090909
396,414.247771836007,163.411764705882,2.12221212121212
396,414.469237832874,145.692378328742,2.15251515151515
395.101928374656,412.652892561983,144.143250688705,2.18281818181818
393.286987522282,411,145.860962566845,2.21312121212121
392.510560146924,411.765840220386,141.489439853076,2.24342424242424
394.173553719008,414.173553719008,140.867768595041,2.27372727272727
394.465240641711,414.82174688057,144.465240641711,2.3040303030303
391.010101010101,414,142.494949494949,2.33433333333333
388.347107438017,413.586776859504,140.520661157025,2.36463636363636
384.713012477718,412.356506238859,139.252228163993,2.39493939393939
382.438934802571,411.438934802571,143.122130394858,2.42524242424242
384.275482093664,413.275482093664,140.275482093664,2.45554545454545
385.836898395722,414.945632798574,143.359180035651,2.48584848484848
383.163101604278,414.054367201426,165.640819964349,2.51615151515152
391.471074380165,411.305785123967,158.082644628099,2.54645454545455
398.530762167126,410.530762167126,154.569329660239,2.57675757575758
