rs_left,rs_right,rs_sound,tx
388,383,159,0.001
389.831439393939,384,138.482954545455,0.0313030303030303
389.623885918004,384,139.247771836007,0.0616060606060606
391,385.568181818182,151.318181818182,0.0919090909090909
392,384.127640036731,157.318640955005,0.122212121212121
392.044563279857,385.089126559715,178.395721925134,0.152515151515152
392.935828877005,386.871657754011,146.310160427807,0.182818181818182
393,387.852157943067,149.112947658402,0.213121212121212
394.540863177227,388.770431588613,142.295684113866,0.243424242424242
394.331550802139,389,144.679144385027,0.273727272727273
394.061524334252,387.938475665748,138.861340679522,0.304030303030303
394.979797979798,387.020202020202,151.717171717172,0.334333333333333
394.101928374656,387,143.917355371901,0.364636363636364
394,386.183654729109,144.632690541781,0.394939393939394
393.286987522282,386,145,0.425242424242424
392.37741046832,387.245179063361,141.264462809917,0.455545454545455
390,389.108734402852,156.075757575758,0.485848484848485
390,390.891265597148,140.924242424242,0.516151515151515
389.137741046832,392.724517906336,146.035812672176,0.546454545454545
389.757575757576,393,171.242424242424,0.576757575757576
391.337006427916,393,154.933884297521,0.607060606060606
393.173553719008,394.173553719008,138.892561983471,0.637363636363636
395.960784313726,396.960784313726,142.862745098039,0.667666666666667
395.118538324421,397.881461675579,137.711229946524,0.697969696969697
396.592286501377,398,155.31129476584,0.728272727272727
397,398.714416896235,155.71349862259,0.758575757575758
397.632690541781,399,164.755739210285,0.788878787878788
396.898071625344,397.898071625344,164.939393939394,0.819181818181818
395.544563279857,397,149.069518716578,0.849484848484849
395,395.613190730838,146.401069518717,0.879787878787879
394.262032085561,394.262032085561,142.144385026738,0.910090909090909
394.668560606061,395.337121212121,143.679924242424,0.940393939393939
394.403122130395,396,140.628099173554,0.97069696969697
393.5,395.5,140,1.001
393,395,138.968778696051,1.03130303030303
393,395.642791551882,134.285583103765,1.06160606060606
393,397.439393939394,138.757575757576,1.09190909090909
393,397.387511478421,155.087235996327,1.12221212121212
393,398.061524334252,153.384756657484,1.15251515151515
393.435828877005,399,164.483957219251,1.18281818181818
394,399,204.206439393939,1.21312121212121
394,399,228.168449197861,1.24342424242424
394,399.173553719008,221.314049586777,1.27372727272727
394.17825311943,400.356506238859,197.217468805704,1.3040303030303
395,403.484848484848,199.393939393939,1.33433333333333
395.401069518717,405,209.197860962567,1.36463636363636
396,405,203.783287419651,1.39493939393939
396,405.219467401286,193.122130394858,1.42524242424242
396.133689839572,406,185.454545454546,1.45554545454545
397,405.948576675849,156.257116620753,1.48584848484848
397,404.112029384757,165.439853076217,1.51615151515152
397.633689839572,402.633689839572,174.307486631016,1.54645454545455
397,401.734618916437,156.753902662994,1.57675757575758
396.82174688057,401.17825311943,144.643493761141,1.60706060606061
396,402.071625344353,142.928374655647,1.63736363636364
396,402.989898989899,142.010101010101,1.66766666666667
396,403,142.908172635445,1.6979696969697
396.302139037433,404,161.885026737968,1.72827272727273
396.800734618916,404.398530762167,155.206611570248,1.75857575757576
396,405.76492194674,148.47015610652,1.78887878787879
395.892561983471,403.964187327824,152.787878787879,1.81918181818182
393.137741046832,403.045913682277,172.989898989899,1.84948484848485
388.766488413547,402.153297682709,140.131907308378,1.87978787878788
383.267379679144,403.465240641711,156.256684491979,1.91009090909091
384.163452708907,401.673094582185,144.528925619835,1.94039393939394
385.163452708907,399.918273645546,137.735537190083,1.97069696969697
387,399,146,2.001
387.891265597148,398.108734402852,145.108734402852,2.03130303030303
388.80624426079,395.581267217631,136.131313131313,2.06160606060606
390.449035812672,395,138.347107438017,2.09190909090909
393.123885918004,394.123885918004,153.247771836007,2.12221212121212
394.015610651974,395.031221303949,154.89072543618,2.15251515151515
394.933884297521,396.867768595041,148.462809917355,2.18281818181818
395,397,157.373737373737,2.21312121212121
395,397,152.066115702479,2.24342424242424
394.331550802139,396.331550802139,144.652406417112,2.27372727272727
393.732620320856,394.82174688057,132.980392156863,2.3040303030303
391.058823529412,393.039215686274,142.78431372549,2.33433333333333
390.101928374656,392.101928374656,143,2.36463636363636
389.183654729109,391.183654729109,144.632690541782,2.39493939393939
386.860962566845,391,145,2.42524242424242
384.132231404959,389.754820936639,146.245179063361,2.45554545454545
381.377410468319,389,147.540863177227,2.48584848484848
377.326203208556,384.54367201426,139.978609625668,2.51615151515152
374.413223140496,382.275482093664,139,2.54645454545455
373.303849303849,379.911547911548,139,2.57675757575758
372.364646464646,378.364646464646,140.906060606061,2.60706060606061
372,378.586776859504,146.694214876033,2.63736363636364
372,380.960784313726,154.901960784314,2.66766666666667
372.786042240588,383.786042240588,161.572084481175,2.6979696969697
375.208556149733,385,144.05882352941,2.72827272727273
376.714416896235,386.42883379247,149.574839302113,2.75857575757576
377.632690541781,387.632690541781,148.142332415059,2.78887878787879
379.069518716578,388,157.973262032086,2.81918181818182
380.438934802571,388.877869605142,155.637281910009,2.84948484848485
381.346702317291,391.040106951872,138.426916221034,2.87978787878788
382,393,140.548209366391,2.91009090909091
382.317290552585,392.682709447415,134.586452762923,2.94039393939394
383.566574839302,392.566574839302,141.966023875115,2.97069696969697
384.969696969697,393,143.545454545454,3.001
386,393,143.209366391185,3.03130303030303
385.688057040998,393,144.688057040998,3.06160606060606
